,text,username,hashtags
140,Hey @davidaxelrod what do you say to this? RT @JoDiffenbaugh: @jheil Did you read http://nbcnews.to/PaXFZK  Romney trashing Obama In Israel?,John Heilemann,[]
141,Michelle Obama is childish. why would you be speaking at UNCG when nobody is there,lolita,[]
142,"So, liberal media, you're telling me i should more upset about what Mitt Romney does with HIS money, than what @BarackObama does with MINE?",Patrick Slyman,[]
143,"After 3 weeks of their obnoxious messages, I finally found the hidden unsubscribe link on the Campaign to Defeat Barack Obama emails. Phew.",Nick Carbone,[]
144,@LiberalPhenom Good to hear!! Obama 2012!!!,ObamaCrat,[]
145,@OTOOLEFAN @PoliticsNorth @JoeNBC This is why #Obama should have went hard left- he was going to be called a socialist anyways. #p2 #GOP,John Francis Kelly,"['Obama', 'p2', 'GOP']"
146,"If you guys think #Obama handled TARP better than #Bush, you should read Neil Barofsky's new book #Bailout. Horrifying. #p2 #GOP #teaparty",John Francis Kelly,"['Obama', 'Bush', 'Bailout', 'p2', 'GOP', 'teaparty']"
147,It's great to have someone like that against Obama. He's going to do all the damage to himself! Just watch him go! http://www.care2.com/causes/mitt-to-brits-you-suck.html …,Damian Monzillo,[]
148,"Obama, GOP continue confrontation on taxes - http://yhoo.it/LUNIUQ ",DAVID DJ SKY,[]
149,@BarackObama up at least 2 but up to 6 points in 4 of 7 polls! #Election2012 - General Election: #RomneyvsObama http://bit.ly/eLHNcQ ,Kingjajapromotions,"['Election2012', 'RomneyvsObama']"
150,"""Churches should not be built in Islamic countries"": Obama say, ""respect it!"" ""Former PM HH Sheikh Nasser Mohamm... http://bit.ly/QNVOQI ",Kurt L Hanson,[]
151,RT Obama's #epicfail: Afghan NATO Guards Defect to Taliban After Dispute: Imagine how many we don't know about. Isl... http://bit.ly/QOlgFN ,Kurt L Hanson,['epicfail']
152,"Many** ""@MikoChan87: it's so awesome how all the british love the queen and respect her while here in america obama's got some haters.""",ˢᵃʷʷᵃˡ,[]
153,Same for those of us who have volunteer tutored. RT @BarackObama: RT if you know the feeling: pic.twitter.com/XUKqBWju”,CindyOlson,[]
154,RT @djdnice: You already know that I'm a President @BarackObama supporter. #Gen44 #Deejaysforobama http://myloc.me/qclzM ,john green,"['Gen44', 'Deejaysforobama']"
155,@MittRomney. Whenever I'm seeing Barack Obama on TV I want to change the channel right away because he's not inspiring.,domingo victor sison,[]
156,"Listening to my mom, Alma, & Barb talk about the presidential election makes me want Obama to win even more. Seriously, Shut up. #Obama2012",bobby.,['Obama2012']
